blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
589C,MONTREAL DR,14,2001,Y,N,N,N,N,N,SB,109,0,0,0,76,33,0,0,0,0,0,0,0,589C MONTREAL DR,103.824890741709,1.44971283561317
589D,MONTREAL DR,14,2001,Y,N,N,N,N,N,SB,109,0,0,0,76,33,0,0,0,0,0,0,0,589D MONTREAL DR,103.824378409707,1.44984328065002
59,C'WEALTH DR,10,1963,Y,N,N,N,N,N,QT,115,0,28,81,5,0,0,0,0,0,0,1,0,59 C'WEALTH DR,103.797090699239,1.29801124613722
59,CHAI CHEE RD,12,1983,Y,Y,N,Y,N,N,BD,233,0,0,181,51,0,1,0,0,0,0,0,0,59 CHAI CHEE RD,103.920246730461,1.32488916644196
59,CIRCUIT RD,10,1964,Y,N,N,N,N,N,GL,118,0,0,116,2,0,0,0,0,0,0,0,0,59 CIRCUIT RD,103.886757553674,1.3252487729987
59,ENG HOON ST,3,1937,Y,N,N,N,N,N,BM,42,0,0,8,34,0,0,0,0,0,0,0,0,59 ENG HOON ST,103.833436351788,1.28414799093318
59,GEYLANG BAHRU,1,1998,N,N,N,N,N,Y,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,59 GEYLANG BAHRU,103.86824771523,1.32244612965134
59,JLN MA'MOR,2,1959,Y,N,N,N,N,N,KWN,7,0,0,7,0,0,0,0,0,0,0,0,0,59 JLN MA'MOR,103.857125685289,1.32810958408436
59,LENGKOK BAHRU,12,1966,Y,Y,N,Y,N,N,BM,176,0,0,0,0,0,0,0,0,0,176,0,0,59 LENGKOK BAHRU,103.814352116968,1.28879800625502
59,LOR 5 TOA PAYOH,10,1967,Y,N,N,N,N,N,TP,120,0,0,120,0,0,0,0,0,0,0,0,0,59 LOR 5 TOA PAYOH,103.851794384284,1.33675035701881
59,MARINE TER,10,1974,Y,Y,N,N,N,N,MP,150,0,0,150,0,0,0,0,0,0,0,0,0,59 MARINE TER,103.914721778871,1.30585966549606
59,NEW UPP CHANGI RD,2,1977,Y,Y,N,N,N,N,BD,6,0,0,6,0,0,0,0,0,0,0,0,0,59 NEW UPP CHANGI RD,103.940695612461,1.32405898618809
59,STRATHMORE AVE,30,1999,Y,N,N,Y,N,N,QT,137,0,0,0,101,36,0,0,0,0,0,0,0,59 STRATHMORE AVE,103.81125258838,1.29318964398969
59,TELOK BLANGAH HTS,13,1976,Y,N,N,N,N,N,BM,120,0,0,0,120,0,0,0,0,0,0,0,0,59 TELOK BLANGAH HTS,103.813588303131,1.2753534329115
59A,GEYLANG BAHRU,21,1997,Y,N,N,N,N,N,KWN,97,0,0,0,57,40,0,0,0,0,0,0,0,59A GEYLANG BAHRU,103.868226925188,1.32265385433949
59B,GEYLANG BAHRU,21,1997,Y,N,N,N,N,N,KWN,97,0,0,0,57,40,0,0,0,0,0,0,0,59B GEYLANG BAHRU,103.867995537199,1.32212605377883
59C,GEYLANG BAHRU,21,1997,Y,N,N,N,N,N,KWN,95,0,0,0,55,40,0,0,0,0,0,0,0,59C GEYLANG BAHRU,103.868500280143,1.32221075711137
590,ANG MO KIO ST 51,6,2017,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,590 ANG MO KIO ST 51,103.853084307968,1.37145793194392
